collocate,raw_frequency,MI
town,6,3.1162029020362967
bearing,2,3.3862744564794425
invisible,1,3.4885916719602403
wire,1,4.292639548553628
empty,2,2.9140911595483923
cars,1,4.707407049324106
rolled,3,3.9988036105274682
lightly,2,3.5872222754018677
rumble,1,5.428992165204584
wheels,1,3.6308428978777583
dreamy,1,4.154489210072811
expanse,2,5.519506172745416
campo,1,5.428992165204584
palms,1,4.7750656977979204
rising,3,3.338395129352963
ships,2,4.24150058706244
sea,1,1.608325627350248
sort,4,2.38928901391711
inn,2,3.150739172870069
near,4,2.4424364834554977
street,11,3.7430683365240176
lamp,9,4.845249754655025
lit,2,3.6764534091298104
much,15,2.2497104565292365
incensed,1,5.979038502123856
priests,1,4.159880058707687
fat,2,3.6372326959765293
padre,1,5.468212878357866
consented,3,4.719946398576841
companion,5,3.6691468339473725
destroyed,1,3.738328812847898
affairs,1,2.3414523423974702
loves,1,2.931346489639154
good,18,2.3028784870845835
reputation,2,3.903772331854501
brass,2,4.292639548553628
coin,2,5.02352705709642
pocket,2,2.618663114981956
untied,1,6.16136005891781
sound,3,2.4724806048038745
drum,1,4.028377750309945
tap,1,4.170749730944591
decoud,1,3.734788986142774
wharf,1,4.914327765131428
began,3,1.7675695573236874
challenge,1,4.0426978040846935
undertones,1,6.38450361023202
approaching,1,3.2643437583029775
messengers,1,5.2693620196127
keeping,1,2.3449672845049148
shouted,1,3.1149346710483017
chief,1,2.3853858979529408
engineer,1,4.652848065073671
eyeglass,4,7.240995825252046
glittered,1,4.7167967896739444
firelight,1,4.7167967896739444
officer,2,3.5675990042177284
wouldn,1,1.8632586591816904
human,9,3.808927160196198
cathedral,1,3.700063274768944
three,11,2.8881337992995415
strokes,1,4.5927441410039656
another,9,2.5099341162714914
burst,2,3.049624109607514
explosively,1,7.993941522666121
exasperated,1,5.036430461932327
devastation,1,7.588476414557957
chair,5,2.8846682586728654
table,5,2.567230941349685
sofa,1,2.9684176160761147
etagere,1,9.380235883786012
console,1,4.31133168156578
shutters,1,4.274290409885431
wall,4,3.188384772486436
sharp,3,3.346350620794077
crack,2,4.707407049324106
pushed,1,2.8149709137506504
about,27,2.517272606583905
streets,1,2.506037388332717
sulaco,1,3.6404429716067774
friend,6,2.249470395712677
acquaintance,3,3.5242093075731336
till,5,2.183028011467133
carlos,1,5.205848613890375
gould,1,2.9700610018198446
remembered,2,2.672762486974822
wooing,1,5.2693620196127
between,9,2.6996600672396562
campaigns,1,6.012940053799538
short,4,2.695311704936039
week,3,2.7945241047729663
season,2,3.558670373473427
gathering,1,3.3003026886904214
bird,1,2.540759445557169
fit,2,2.9266108848933197
grapple,1,6.012940053799538
himself,20,2.6677182468148395
solitude,1,3.0961017227152094
mere,4,3.2344421013641793
outward,1,3.686503744983312
condition,2,3.2095796728930024
move,1,2.295171589833464
advance,2,3.8892341734084734
rugged,1,4.559954318180974
unstirring,1,8.687088703226067
killed,2,3.535243240578287
swimming,1,4.58444533818927
blackened,1,4.869376377269162
tall,1,1.9968677367936283
chimney,1,3.536691466754652
marked,2,3.4735125651331202
ruins,1,4.112377724722683
portion,1,3.3665207277432097
tongue,2,3.1083027187445507
forest,1,3.163629782701147
ran,2,2.215515505014154
join,1,2.9172064268653415
clattered,1,6.084399017781682
road,4,2.731899211982796
rider,2,5.3112091295482005
splendid,1,2.7641706986531944
armour,1,4.343283281372383
hammering,1,5.716674237656365
jangle,2,7.588476414557957
silent,1,1.4915263596039974
let,6,1.8886833685820612
lie,5,3.6858305709424077
broken,7,3.702841552142341
hath,2,2.9226816067534305
perhaps,9,2.5236569469662755
twelve,1,2.6832016361195272
feet,3,2.3582594607138514
wide,2,2.8902713626026757
crossed,3,3.5801336381241335
drawbridge,1,6.202182053438066
supplied,1,4.028377750309945
water,5,2.6375911248674746
link,1,4.474961105347582
bearers,2,5.498672085842574
cloak,1,2.9281869293487857
blew,1,3.569094890809311
affray,1,7.183011306449792
became,2,2.181304643097838
series,1,4.067029904744224
combats,3,8.08095289965575
dick,1,1.729591332349115
prostrate,1,4.403502141365437
under,14,2.9188793208036916
knee,1,2.7858224240362333
stroke,7,5.239371305929018
poniard,1,6.7411785541707525
ceased,2,3.277385451033407
ye,1,1.1322301821853906
managed,1,2.9933565644233666
howbeit,1,6.012940053799538
certainly,3,2.441343674919183
direct,2,3.781813924787637
swerving,1,6.435796904619571
command,1,2.502939812288583
easier,2,4.320810425520324
destroy,1,3.724244072966159
note,8,3.978648490249496
upon,28,2.7703178775064794
tucket,1,7.434325734730698
recalled,1,3.536691466754652
attacking,1,5.354884193050863
fully,1,2.9345160644004333
strength,2,2.6332363836832684
call,7,2.9386664044309048
none,3,2.510182471987886
leaving,4,3.3240375221114613
housework,1,6.815286526324475
efforts,1,3.485833049521161
joan,1,4.543953976834533
iv,1,4.1279624557393815
rolliver,1,6.815286526324475
alehouse,1,6.38450361023202
marriages,2,5.285891321563911
aristocratic,1,4.292639548553628
links,1,4.973516636521759
inserting,1,7.0776507907919655
title,1,3.2002192301334387
above,4,2.6600157286507167
rank,2,3.3652989804928874
strict,1,3.929197430220311
moderation,1,5.716674237656365
moment,20,3.3322728627727667
discover,2,3.8331072191751874
feather,2,4.826358992185471
crippled,1,5.302698439880292
draggled,1,6.289193430427696
handled,1,4.474961105347582
avoid,1,3.1264070722105384
making,3,2.312916035132536
odd,1,2.5515238121443273
lots,1,4.086931059061519
people,10,2.531487785383907
university,2,4.618061948988255
degree,1,3.022393617277912
early,1,1.6223296754342644
finished,1,2.3275148345536887
pasture,1,5.076170790581842
intruded,1,5.824887822296598
existence,5,4.0302752840861364
ever,11,2.444659237148064
vouchsafed,2,5.562523557829107
tess,1,2.580065815483812
custom,2,3.9087913150768423
wear,1,2.6668914588388453
string,3,4.799501668399359
wore,2,3.0710618205615763
declaring,1,4.362956046971087
particulars,1,4.000338530245552
sacrificing,1,5.573573394015692
parents,2,3.6599241071786
