nodeA,nodeB,weight
Sally Lunns,Vaughan,12
Eau de Cologne,Vaughan,12
Lisson Grove,Vaughan,12
Czar,Vaughan,12
Maltese,Vaughan,12
Slowski,Vaughan,24
Peeler,Vaughan,12
Jack Ketch,Vaughan,12
Nasty,Vaughan,12
Stiffly,Vaughan,12
James McGregor,Vaughan,12
Counsel,Vaughan,12
Henry Conrad,Vaughan,12
Ingomar,Vaughan,24
"Clara - """,Vaughan,12
Gloshire,Vaughan,12
Miss Parrysole,Vaughan,12
Dowdy,Vaughan,12
Vaughan,Wull,12
Hinstitooshun,Vaughan,12
Lady,Vaughan,12
Calm,Vaughan,12
"Clara Vaughan - """,Vaughan,12
Rio,Vaughan,12
La Croya,Vaughan,12
Marian,Vaughan,12
Jenkinson,Vaughan,12
Fare,Vaughan,12
Miasma,Vaughan,12
Paddington,Vaughan,12
Surrender,Vaughan,24
Holy Madonna,Vaughan,12
Chumps,Vaughan,12
John Huxtable's,Vaughan,12
Abraham Cann's,Vaughan,12
Stoic Shelfer's,Vaughan,12
Cabman,Vaughan,12
Edgware Road - we,Vaughan,12
Coachman,Vaughan,12
"Clara"" - they",Vaughan,12
John Hoxton,Vaughan,24
Corpse,Vaughan,12
Vaughan,William Hiatt,12
Lady Cranberry ',Vaughan,12
Honor,Vaughan,12
Uncle Edgar's,Vaughan,24
Gradus,Vaughan,12
Alexander,Vaughan,36
Vaughan,Young John,12
George Tamlin,Vaughan,12
Distaff Lane,Vaughan,12
Clara Green,Vaughan,12
Annie Elton,Vaughan,12
Uncle John a-coming,Vaughan,12
Clara - such,Vaughan,12
Clara,Clara,17578
Clara,Guava,188
Ann Maples,Clara,3008
Clara,Thomas Kenwood,1504
Clara,Edgar Vaughan,1880
Clara,Henry Valentine Vaughan,564
Clara,Edgar,564
Clara,Gloucester,3008
Clara,Clara Vaughan,4700
Clara,Edgar Malins Vaughan,188
Clara,Gospel,188
Clara,Roman L. Rudely,188
Clara,Stephen Daldy,188
Clara,Lawrence,188
Clara,Lawrence Daldy,188
Clara,Clement Daldy,752
Clara,Uncle Edgar,564
Clara,Eleanor,188
Clara,Daldy,8084
Clara,Clement,752
Arid,Clara,188
Clara,Ferrati,188
Bologna,Clara,188
Clara,Cousin Clara,564
Clara,Doll,188
Clara,Miss Vaughan,7332
Clara,Thomas,188
Clara,Thomas Henwood,1128
Clara,Tilly Jenkins,188
Clara,Miss Clara,940
Clara,Tilly,1504
Clara,Satanic,188
Clara,Edgar Vaughan's,188
Clara,Vaughan Parks,188
Clara,Hubert Vaughan,376
Clara,Miss Melodrame,188
Clara,Honor Huxtable,376
Clara,Zuke,564
Clara,Huxtable,12032
Clara,Varmer Badcock,188
Clara,Whai,376
Clara,Varmer,564
Clara,Queen,1316
Beany Dawe,Clara,5264
Clara,Clerer,1504
Clara,Maister,376
Clara,Reckon,376
Clara,Timothy Badcock,1316
Benches,Clara,188
Clara,Suke,1692
Clara,Dawe,3008
Clara,Tim Badcock,1316
Clara,Jane Hiatt,188
Clara,Ebenezer Dawe,940
Clara,Zee,188
Clara,Coom,940
Clara,Margery Daw,188
Beany,Clara,376
Clara,Varmer Yeo,188
Clara,Quane,376
Clara,Ebenezer,564
Candour,Clara,188
Barton,Clara,564
Clara,Ilfracombe,188
Clara,Thou,188
Clara,Dame Huxtable,188
Clara,Maples,564
Clara,Rowley Mires,376
Clara,Sally,8084
Clara,Sally Huxtable,940
Clara,Lonnon,940
Cas'n,Clara,376
Clara,Jack,4512
Clara,Jan Huxtable,188
Clara,Jane,5264
Clara,Winny,188
Clara,Tom Grundy,188
Clara,Tim,4136
Bill,Clara,1128
Clara,Tom Gundry,1316
Clara,Zam,188
Ai'll,Clara,188
Carnwall,Clara,188
Clara,Hor,188
Clara,Jan,188
Carnisher,Clara,188
Clara,Phil Dascombe's,188
Clara,Squaire Drake's,188
Clara,Davonsheer,564
Clara,Huxtables,376
Clara,Tim Badcock's,188
Clara,Tabitha Badcock,188
Clara,Zally,188
Billy,Clara,376
Clara,Ees,188
Clara,Tabby Badcock,940
Clara,Tabby,2068
Clara,Spak,188
Clara,Majesty,376
Clara,Shelfer,43052
Clara,Tiverton,376
Clara,Michaelmas,376
Clara,Ho,376
Charley,Clara,7332
Clara,Cousin Ann,188
Clara,Lady Cranberry,752
Clara,Lady Cranberry's,564
Clara,Know London,188
Clara,Hampstead Waterworks,188
Clara,Patty,3948
Clara,Tom,3572
Clara,Minto,1880
Clara,Londoner,188
Clara,Elton,2444
Clara,Patty Shelfer,564
Clara,Gossip,188
Botany Bay,Clara,188
Clara,Uncle John,940
Clara,Cutting,1880
Clara,Valentine,376
Clara,Clara Valence,376
Calva,Clara,188
Clara,King Charles,188
Clara,Sussex,188
Clara,a Roundhead Squadron,188
Clara,Major Vaughan,188
Clara,Oxgall,3760
Clara,Georgiana,188
Clara,Sweet,188
Clara,Isola Ross,940
Clara,Cora,8084
Clara,Ross,3196
Charley Shelfer,Clara,188
Clara,Devon,1128
Clara,Hiatt,376
Clara,Master Roderick Blount,188
Clara,Cooky,376
Clara,Clara Waun,188
Clara,Valence,188
Clara,Jim,752
Ben,Clara,752
Charley Shelfer's,Clara,188
Clara,Henry Valentine,188
Clara,John Huxtable,1128
Cerberus,Clara,188
Clara,Queen Victoria,188
Clara,Joe the Queen's,188
Clara,Joe,940
Clara,Joe Queen's,376
Clara,Murphy,188
Clara,Conrad,3572
Clara,Sandy,376
Clara,Farmer Huxtable,564
Clara,Worn,188
Clara,Wenham,188
Clara,Franks,2256
Clara,Isola,1692
Clara,Mocha,188
Clara,Miss Idols,1504
Clara,Conny,7332
Clara,Gloucestershire,188
Clara,North Devon,188
Clara,"Shelfer - """,188
Clara,John,1504
Clara,Grandmother,188
Clara,Merry-Andrews,188
Clara,Donna,2632
Clara,Judy,9964
Aurora,Clara,188
Churchman,Clara,188
Bob Ridley,Clara,376
Bob,Clara,1316
Clara,Dantzic,188
Clara,God,940
Clara,Frank,188
Clara,George Robins,188
Clara,Portia,188
Clara,Violante,188
Clara,George Cutting,564
Clara,Tossil,188
Byron,Clara,188
Babby,Clara,188
Clara,Muxworthy,188
Bobby,Clara,376
Clara,Peggy,188
Clara,Queen Victoria's,188
Clara,Sister Muxworthy,188
Clara,Hexmoor,188
Beany Dawe's,Clara,376
Abraham Cann,Clara,188
Abraham,Clara,188
Clara,Cornisher,188
Clara,Henwood,188
Clara,Fletcher,6956
