nodeA,nodeB,weight
Boy,Sevenoaks,8
Boy,Library,8
Bill,Boy,8
Boy,Chelsea,8
Boy,Lively,8
Boy,Saint Mark,8
Boy,Darling Christobel,8
Boy,Sanskrit,8
Hush,Jenkins,30
Hush,Noah,2
Hush,William Allen Richardson,2
Hush,Pickwick,2
Hush,Maid,2
Elizabeth,Hush,4
Goody,Hush,2
Hush,bin,2
Hush,Lucy,4
Clara,Hush,4
Hush,Sarah,2
Hush,Sally,2
Amelia,Hush,2
Caroline,Hush,2
Hush,Miss Hann,16
Hann,Hush,8
E'll,Hush,2
Hush,M. A. Chelsea,2
Baby Boy,Hush,2
Hush,Russell,2
Ann,Hush,124
Hush,Ran,2
Hush,Kenrick Harvey,2
Ann Harvey's,Hush,2
Hush,Miss Harvey,2
Ann Harvey,Hush,8
Hush,Kenrick,14
Hush,Miss Ann,22
Emma,Hush,18
Hush,Miss Ann's,4
Hush,Sweet,2
